series,sktime_mae
UNRATE,0.16824090323945604
CO2,0.2860975572002644
Quadratic,1.4379585596771374
Random Walk (drift),1.4795623315089799
Seasonal+Trend,1.5665015624029195
Multi-seasonal,1.58247726910861
Spiky Intermittent,1.6552686360004518
INDPRO,1.660224657110076
Linear Trend,2.1450401735947104
Logistic (S-curve),2.3246734758243406
CPIAUCSL,2.9039515017541717
Piecewise (changepoints),2.9737764343952158
Sunspots,26.736477467590976
